final_variable,original_dataset,original_variable,definition,year,geographic_scale,transformation,missing_data_treatment
pfoa_ugL;pfos_ugL;pfhxs_ugL;pfna_ugL;genx_ugL;pfbs_ugL,UCMR5_All.txt,AnalyticalResultValue / Contaminant,"Population-weighted mean across linked PWS of each PWS's mean concentration (ug/L) for that compound, non-detect set to 0 (exposure measure 3)",2023-2025,ZCTA5,"Per-PWS: mean of sample results with ND=0; then population-weighted mean across PWS",NA if no linked PWS; ND -> 0 (primary rule)
pfas_sum_ugL,UCMR5_All.txt,AnalyticalResultValue / Contaminant,"Population-weighted mean across linked PWS of the PWS sum of mean per-compound concentrations, ND=0 (exposure measure 4)",2023-2025,ZCTA5,Per-PWS sum over 29 PFAS of (mean result, ND=0); population-weighted mean across PWS,NA if no linked PWS
pfas_sum_ndhalf_ugL,UCMR5_All.txt,AnalyticalResultValue / MRL,Same as pfas_sum_ugL but non-detects set to MRL/2 (sensitivity analysis),2023-2025,ZCTA5,ND -> MRL/2,NA if no linked PWS
pfas_max_single_ugL,UCMR5_All.txt,AnalyticalResultValue,Highest single detected PFAS result (ug/L) among all linked PWS,2023-2025,ZCTA5,Max across linked PWS of per-PWS max result,0 if no detections; NA if no linked PWS
pfas_hazard_index,UCMR5_All.txt,AnalyticalResultValue / Contaminant,"EPA 2024 Hazard Index: sum of (mean concentration / health-based value) for PFHxS (0.010), HFPO-DA/GenX (0.010), PFNA (0.010), PFBS (2.0) ug/L; population-weighted across PWS (exposure measure 5 - mixture index)",2023-2025,ZCTA5,Per-PWS HI with ND=0; population-weighted mean across linked PWS,NA if no linked PWS
pfas_hazard_index_max,UCMR5_All.txt,AnalyticalResultValue / Contaminant,Maximum PWS Hazard Index among linked PWS,2023-2025,ZCTA5,Max across linked PWS,0 if no detections; NA if no linked PWS
pfas_detect_freq,UCMR5_All.txt,AnalyticalResultsSign,"Population-weighted mean across linked PWS of the PWS detection frequency (detected results / total results) (exposure measure 6)",2023-2025,ZCTA5,Per-PWS detect rate over all analyte-results; population-weighted mean,NA if no linked PWS
any_mcl_exceedance,UCMR5_All.txt,AnalyticalResultValue / Contaminant,1 if any linked PWS had PFOA mean >= 0.004 ug/L OR PFOS mean >= 0.004 ug/L OR Hazard Index >= 1 (EPA 2024 final MCLs),2023-2025,ZCTA5,OR across linked PWS,NA if no linked PWS
mcl_exceedance_popwt,UCMR5_All.txt + SDWIS,as above / POPULATION_SERVED_COUNT,Population-weighted share of linked PWS with an MCL/HI exceedance,2023-2025,ZCTA5,Weighted mean,NA if no linked PWS
pfas_sum_log;pfas_hi_log;pfoa_log;pfos_log,derived,pfas_sum_ugL / pfas_hazard_index / pfoa_ugL / pfos_ugL,Natural log of (1 + value); modelling transforms for the right-skewed concentration measures,2023-2025,ZCTA5,log1p(),Inherits NA from source
pfas_detected_hi_lo,derived,pfas_hazard_index,1 if ZCTA Hazard Index above the primary-sample median; else 0 (for propensity-score / group contrasts),2023-2025,ZCTA5,Median split within primary analytic sample,NA if pfas_hazard_index NA
obesity_pct,CDC PLACES 2025 ZCTA,data_value (measureid OBESITY),Model-based crude prevalence (%) of obesity (BMI >= 30) among adults 18+,BRFSS 2023,ZCTA5,None (cast from long to wide),NA if PLACES has no estimate for the ZCTA (places_complete = 0)
diabetes_pct,CDC PLACES 2025 ZCTA,data_value (measureid DIABETES),Model-based crude prevalence (%) of diagnosed diabetes among adults 18+,BRFSS 2023,ZCTA5,None,NA if PLACES missing
bphigh_pct,CDC PLACES 2025 ZCTA,data_value (measureid BPHIGH),Model-based crude prevalence (%) of high blood pressure among adults 18+,BRFSS 2023,ZCTA5,None,NA if PLACES missing
obesity_ci_width;diabetes_ci_width;bphigh_ci_width,CDC PLACES 2025 ZCTA,high_confidence_limit - low_confidence_limit,Width of the 95% credible interval - an estimate-precision / reliability flag,BRFSS 2023,ZCTA5,ucl - lcl,NA if PLACES missing
places_pop,CDC PLACES 2025 ZCTA,totalpopulation,2020 census total population attributed to the ZCTA by PLACES,2020,ZCTA5,None,NA if PLACES missing
acs_pop_total,ACS 2019-2023 (B01003),B01003_E001,Total population,2019-2023,ZCTA5,None,"NA / suppression sentinels (<= -666666666) set to NA"
median_hh_income,ACS 2019-2023 (B19013),B19013_E001,Median household income (inflation-adjusted 2023 USD),2019-2023,ZCTA5,None,Jam/suppression values -> NA
poverty_rate,ACS 2019-2023 (B17001),B17001_E002 / B17001_E001,Percent of persons with income below the poverty level in the past 12 months,2019-2023,ZCTA5,100 * below-poverty / poverty-universe,NA if denominator 0 or missing
pct_bachelors_plus,ACS 2019-2023 (B15003),B15003_E022..E025 / B15003_E001,Percent of adults 25+ with a bachelor's degree or higher,2019-2023,ZCTA5,100 * (bachelor+master+professional+doctorate) / total 25+,NA if denominator 0
pct_less_than_hs,ACS 2019-2023 (B15003),B15003_E002..E016 / B15003_E001,Percent of adults 25+ with less than a high-school diploma,2019-2023,ZCTA5,100 * sum(no schooling..12th no diploma) / total 25+,NA if denominator 0
unemployment_rate,ACS 2019-2023 (B23025),B23025_E005 / B23025_E003,Percent of the civilian labor force that is unemployed,2019-2023,ZCTA5,100 * civilian unemployed / civilian labor force,NA if denominator 0
pct_nh_white;pct_nh_black,ACS 2019-2023 (B03002),B03002_E003 / _E004 over _E001,Percent non-Hispanic White alone / non-Hispanic Black alone,2019-2023,ZCTA5,100 * group / total,NA if denominator 0
pct_hispanic,ACS 2019-2023 (B03002),B03002_E012 / B03002_E001,Percent Hispanic or Latino (any race),2019-2023,ZCTA5,100 * Hispanic / total,NA if denominator 0
pct_minority,ACS 2019-2023 (B03002),100 - (B03002_E003 / B03002_E001),Percent not non-Hispanic White alone,2019-2023,ZCTA5,100 - pct_nh_white,NA if denominator 0
pct_under_18;pct_65_plus,ACS 2019-2023 (B01001),B01001 age-sex cells / B01001_E001,Percent of the population under 18 / aged 65 and older,2019-2023,ZCTA5,Sum of relevant male+female age cells / total pop * 100,NA if denominator 0
pct_renter_occ,ACS 2019-2023 (B25003),B25003_E003 / B25003_E001,Percent of occupied housing units that are renter-occupied,2019-2023,ZCTA5,100 * renter / occupied,NA if denominator 0
median_home_value,ACS 2019-2023 (B25077),B25077_E001,Median value of owner-occupied housing units (USD),2019-2023,ZCTA5,None,Jam/suppression -> NA
median_gross_rent,ACS 2019-2023 (B25064),B25064_E001,Median gross rent (USD),2019-2023,ZCTA5,None,Jam/suppression -> NA
pct_mobile_home,ACS 2019-2023 (B25024),B25024_E010 / B25024_E001,Percent of housing units that are mobile homes (rural / lower-cost housing marker),2019-2023,ZCTA5,100 * mobile homes / total units,NA if denominator 0
pop_density_km2,derived,acs_pop_total / aland_m2,Population per square kilometre of land area,2019-2023 / 2020,ZCTA5,acs_pop_total / (aland_m2 / 1e6),NA if pop or land area missing
log_pop_density,derived,pop_density_km2,log(1 + population density) - modelling transform,2019-2023,ZCTA5,log1p(),Inherits NA
urban_flag,derived,pop_density_km2,1 if population density >= 400 / km2 (~1,000 / sq mi); else 0 (coarse urban/rural proxy),2019-2023,ZCTA5,Threshold,NA if density NA
svi_index,derived,"poverty_rate, pct_less_than_hs, unemployment_rate, pct_minority, median_hh_income, pct_renter_occ",Socioeconomic-vulnerability index: mean of z-scores (income entered with negative sign) within the Texas ZCTA universe with complete ACS data; higher = more vulnerable,2019-2023,ZCTA5,Standardise each component then row-mean,NA if acs_covar_complete = 0
pfas_exposure_available,derived,n_pws_serving,1 if the ZCTA is linked to >=1 Texas UCMR5 PWS; else 0,2023-2025,ZCTA5,Flag,n/a
places_complete,derived,"obesity_pct, diabetes_pct, bphigh_pct",1 if all three PLACES outcomes are present,BRFSS 2023,ZCTA5,Flag,n/a
acs_covar_complete,derived,core ACS covariates,1 if median income + poverty + education + unemployment + Hispanic % + 65+ % are all present,2019-2023,ZCTA5,Flag,n/a
pop_screen_ok,derived,acs_pop_total,1 if ZCTA population >= 500 (small-population estimate-stability screen),2019-2023,ZCTA5,Threshold,n/a
analytic_full,derived,the three completeness flags,1 if PFAS linked AND PLACES complete AND ACS complete,mixed,ZCTA5,AND of flags,n/a
analytic_primary,derived,analytic_full & pop_screen_ok,1 if analytic_full AND population >= 500 - the primary analytic sample (n = 1,223 Texas ZCTA),mixed,ZCTA5,AND of flags,n/a
in_bexar,derived,county_fips,1 if the ZCTA's dominant county is Bexar County (48029) - San Antonio case-study flag,2020,ZCTA5,Equality test,n/a
lisa_pfas_hazard_index;lisa_obesity_pct;lisa_diabetes_pct;lisa_bphigh_pct;lisa_svi_index,script 11_spatial_autocorr.R,local Moran's I,LISA cluster label (High-High / Low-Low / High-Low / Low-High / Not significant) at p<0.05 using queen contiguity,mixed,ZCTA5,localmoran() on the primary sample,Only present in texas_zcta_lisa.*
gwr_pfas_coef,script 12_models.R,geographically weighted regression,Local GWR slope for log(1+Hazard Index) -> obesity (feasibility only; unstable at the selected bandwidth),mixed,ZCTA5,spgwr::gwr() adaptive bandwidth,Only present in texas_zcta_gwr.*
